Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Jurkat only,12.33963879,-18.91710843,3.154735294,6.368247789,-8.970380369,1.366061007,4.872431387,1.27267662,4.96484621,-7.223273803
Jurkat only,13.3653014,-20.09490073,2.637674151,-0.16253097,1.377647519,-6.878150693,-4.618725444,1.725348954,6.021830086,3.424201615
Jurkat only,13.43436846,-29.0615909,7.542465774,-0.667695323,-5.654554607,4.444961108,-0.992141117,0.553480647,3.504231418,1.223044239
Jurkat only,13.91730971,-20.33859792,2.764172788,6.291677696,-5.034033384,-4.175470179,-0.277052734,-5.356954872,-2.890356577,4.430925723
Jurkat only,15.25894804,-15.4384847,19.97075414,1.478922439,-7.789227643,-1.2596828,-3.881796329,0.266776996,3.237891997,2.75026646
Jurkat only,13.59853211,-18.77238551,0.20103904,0.361430951,-7.733666117,1.894928833,6.929085712,1.330309194,4.025648403,-8.867864369
Jurkat only,14.05674611,-11.92036558,10.51537803,-5.350869523,-1.434244045,-5.674928571,0.143442474,1.625087021,4.074355341,-9.185979649
Jurkat only,15.9292028,-13.01998071,5.628692752,9.780581775,-5.86970457,-4.585930283,0.242689446,-1.153751014,-4.128010561,0.348618598
Jurkat only,11.98692286,-27.66595409,-6.811824096,-15.16980716,-0.439623807,-7.021381339,-2.804173788,1.857604866,5.541700206,-5.807983228
Jurkat only,13.24118843,-12.74641335,6.052824402,4.219391627,-6.99861601,8.41808115,1.313290984,-0.323779595,-2.137672043,3.793619452
Jurkat only,13.82049088,-16.99053641,3.365719655,8.334339783,-5.423088229,0.344490585,3.185233954,-0.075957721,-2.518029932,2.259994659
Jurkat only,15.54886868,-12.2304026,9.171810589,3.82730139,0.748093943,6.002405206,9.305548183,0.040309801,-0.452073535,-2.520235645
Jurkat only,14.22002645,-6.744620759,8.624138435,1.635418219,-5.729406275,2.99401151,9.676503899,0.562960323,-3.918248369,-0.613832858
Jurkat only,12.40116203,-9.623886839,8.848910512,11.39197077,0.768211367,-2.363380075,1.287916113,-0.206968177,2.904360103,3.327155289
Jurkat only,11.84866843,-20.17153965,3.566147287,7.704690374,-7.491684178,0.925332899,-0.166842145,-0.633371898,-6.170335598,-0.35095117
Jurkat only,13.57583766,-13.21154988,11.43549654,-0.719644,1.149088888,-0.781600856,-1.37851052,0.804846373,8.751448843,-7.459566411
Jurkat only,15.07484209,-20.3206003,-0.517620723,4.033426157,-7.221853269,0.114616372,1.044994746,-0.018832052,-3.986211609,-2.283828725
Jurkat only,14.41256299,-12.16819933,7.105227383,4.621065461,-7.215771044,6.102650002,4.364620693,0.07342076,1.237279733,-2.310172051
